t_D,P_wD,P_wD_gauss,ln_t_D,dP_wD
0.1,0.009651824349947182,0.009665443321896238,-2.3025850929940455,0.010497456191541372
0.11695635215525299,0.011286180734701707,0.011309666400989555,-2.1459544722901267,0.011269204733192602
0.1367878830946355,0.013196863041090265,0.01319564838629523,-1.9893238515862073,0.013151578592694798
0.15998211825787764,0.015430441265504604,0.015429546237409867,-1.8326932308822883,0.01543165796156527
0.1871092496151167,0.018041281444426602,0.0180297887163163,-1.6760626101783689,0.018093420207601265
0.21883615289490718,0.021092832362369498,0.021097513512956717,-1.51943198947445,0.02112826446906229
0.2559427816227755,0.024659118197264143,0.024648455072687866,-1.3628013687705307,0.024665716031991494
0.29934134099068344,0.028826467804580667,0.028824326337351606,-1.2061707480666117,0.028918476172723914
0.3500987129153204,0.03369551515648307,0.03370749281817834,-1.0495401273626923,0.033672221663502276
0.40946268356825033,0.039383509255156116,0.03937252829662023,-0.8929095066587731,0.03931129042254662
0.47889261813843204,0.046026975995029556,0.046022196457289374,-0.736278885954854,0.04597740327713268
0.5600953369154955,0.05378477794630723,0.05377546672392365,-0.5796482652509348,0.053682035145551435
0.6550670746480375,0.0628416215087392,0.06283869742828403,-0.4230176445470159,0.06272483512958109
0.7661425546784727,0.07341206321491936,0.07342472644371822,-0.2663870238430967,0.07306511014475683
0.8960523842610063,0.0857450673035401,0.08572716453583104,-0.10975640313917738,0.0853114055204203
1.0479901820318436,0.10012916568750564,0.10014948324329268,0.04687421756474212,0.0995200032354963
1.2256910878496394,0.1168982650885958,0.11690292429429468,0.203504838268661,0.11579651538204062
1.433523585040975,0.13643813600213522,0.1364240434025725,0.36013545897257987,0.13502362724015818
1.6765968923491308,0.15919359942921726,0.15920059338293577,0.5167660796764992,0.1571944462590942
1.9608865656398768,0.1856763984723134,0.18566697078011404,0.6733967003804182,0.1828460478585035
2.293381397074821,0.21647369835200966,0.21647917332160754,0.8300273210843377,0.2125536442631863
2.682255223025888,0.252257097061934,0.25225178924775987,0.9866579417882567,0.24681992837434105
3.1370678643448247,0.29379193952791705,0.2937982904883474,1.143288562492176,0.2863375971297662
3.6690001387724065,0.34194660963688794,0.341950260386368,1.299919183196095,0.33166306902952597
4.2911287228793755,0.39770131138873327,0.3976954752216702,1.456549803900014,0.38372581164737
5.018747620566014,0.4621556375976001,0.46215668450325365,1.6131804246039334,0.443251219027933
5.869744140892566,0.5365339507525885,0.5365489023498982,1.7698110453078524,0.5108584278083326
6.8650386280346405,0.6221872531458182,0.6221888297821488,1.9264416660117718,0.587515583645746
8.02909875339834,0.7205898019648656,0.7205947634292151,2.083072286715691,0.6739943739050567
9.390541012917593,0.8333282276903556,0.8333251440535456,2.2397029074196104,0.7708848487795896
10.982834216351364,0.9620803579101876,0.9620831081404038,2.3963335281235296,0.8786740629500305
12.845122262703512,1.108580376658431,1.1085796718061407,2.5529641488274484,0.9975147953626708
15.023186428340324,1.2745664387573812,1.2745658312583994,2.7095947695313676,1.1272183404406928
17.570570824069886,1.461706542534126,1.4616934884702755,2.8662253902352868,1.2671491321671589
20.5498986886873,1.6714985670381093,1.6715145414499488,3.0228560109392055,1.4155846600813446
24.03441187788884,1.9051411718343827,1.905141296405251,3.1794866316431247,1.5701197744943776
28.109771394347632,2.1633741885441427,2.163372211167054,3.3361172523470444,1.7274591895578941
32.876163222009794,2.4462906162452573,2.446287306607538,3.492747873050964,1.8826718693519289
38.450761233069514,2.7531279064104677,2.7531403381238566,3.6493784937548823,2.02950865392618
44.970607714124284,3.0820541347878367,3.0820537069844027,3.8060091144588015,2.1605965167646266
52.59598232448858,3.429974916670841,3.429971485146995,3.962639735162721,2.267555847780775
61.51434230694343,3.7923985870420935,3.79239106682181,4.1192703558666395,2.3412793571942916
71.94493081449656,4.163408126363834,4.163403563064221,4.275900976570559,2.3730800381886934
84.14416664125574,4.535794488724779,4.535785065544962,4.432531597274479,2.355893435476084
98.41194785505,4.901401050012958,4.901413665286042,4.589162217978398,2.285410575104473
115.09902429619613,5.251705331545597,5.251715619428794,4.745792838682316,2.161758138347981
134.61562018311938,5.5786160438634385,5.578608703328428,4.9024234593862355,1.9908950637433707
157.44151879734696,5.875393225903316,5.875385878609782,5.059054080090156,1.7841936069043556
184.1378571632038,6.137523766271694,6.137527407539214,5.215684700794074,1.5576009330047174
215.36092067493342,6.3633372376791675,6.363321880500844,5.372315321497993,1.330032974482402
251.87827678937026,6.554166114932049,6.554175188238932,5.528945942201912,1.1193003797018763
294.5876444043588,6.713958831337036,6.71395530695452,5.685576562905832,0.9392430045510277
344.5389627954261,6.848419811585773,6.848403617828217,5.842207183609751,0.797889491845846
402.9602026390747,6.963908817013124,6.963903159676417,5.99883780431367,0.695943269954999
471.2875536440774,7.066404656608811,7.066415670523752,6.155468425017589,0.6284836621802116
551.2007309038441,7.1607868667383805,7.160782731895535,6.312099045721509,0.5877872861155016
644.6642679182278,7.250543736460031,7.250546645456038,6.4687296664254275,0.5652282363582501
753.9758114055263,7.337854620301708,7.337846830895884,6.625360287129347,0.5533682253928451
881.8226051528737,7.423893864322483,7.423895462698251,6.781990907833266,0.5469856308521586
1031.3475514672202,7.509190755382026,7.509196228648882,6.938621528537184,0.5428070010281856
1206.2264742385828,7.593931312732831,7.5939358576852065,7.095252149241105,0.5393575196067263
1410.7584830003677,7.6781576278381065,7.678156034803538,7.2518827699450235,0.5361240496427153
1649.9716594380138,7.7618729507442765,7.761882743024882,7.408513390648942,0.5329083411107908
1929.7466644741974,7.845083302110238,7.845095563296498,7.565144011352863,0.5296754907524962
2256.961304606689,7.9278066441358925,7.927809544801314,7.721774632056781,0.5266131961286372
2639.659611423589,8.010070112651649,8.010063066857501,7.878405252760699,0.523816030251777
3087.2495908365595,8.091905516821353,8.091900804707315,8.03503587346462,0.5212960531834085
3610.734503370411,8.173346285028948,8.173364915618746,8.191666494168539,0.5187790615365955
4222.983361153119,8.254425902430334,8.25441417754066,8.348297114872457,0.5165692099652718
4939.047291327988,8.335177266178578,8.33518602760553,8.504927735576377,0.5146697710325304
5776.529543160042,8.415632274641439,8.415640268929396,8.661558356280295,0.5127659618261278
6756.018234850493,8.495821445429474,8.495815729358867,8.818188976984215,0.5111892648220611
7901.592478424845,8.57577360565515,8.575776052621917,8.974819597688134,0.5097697434055372
9241.414324939537,8.65551564166465,8.65550683201024,9.131450218392052,0.5084637324430467
10808.421082002294,8.73507223340381,8.73505803265789,9.288080839095974,0.5074340413284043
12641.135023089199,8.814465839065768,8.814466249729374,9.444711459799892,0.5065042599030961
14784.610394025212,8.893716701080818,8.89372618589349,9.60134208050381,0.5055827207190245
17291.540997218286,8.972842844119906,8.972845720456172,9.75797270120773,0.504772755120652
20223.55558177655,9.051860301840183,9.05185192579144,9.914603321911649,0.5041472992168015
23652.732884535886,9.13078322808916,9.130775529261237,10.071233942615567,0.5036832796009015
27663.37356677915,9.209624032188056,9.20963637523559,10.227864563319487,0.5032037457618357
32354.072606785372,9.28839358387647,9.288409759339665,10.384495184023406,0.5026644485260068
37840.14309455811,9.367101407048875,9.367101664392433,10.541125804727324,0.5023220450897835
44256.45101372308,9.445755738376967,9.445767786771016,10.697756425431246,0.5020093547437982
51760.730699026964,9.524363814720427,9.524361738057822,10.854387046135164,0.5016849829701571
60537.462474486194,9.602931863054325,9.60292624733192,11.011017666839084,0.5014627985623487
70802.40779751416,9.681465321763016,9.681450596855315,11.167648287543003,0.5013191406377282
82807.9133980589,9.75996888043778,9.759970103669607,11.32427890824692,0.5011012554064226
96849.1148062508,9.838446616441052,9.838426198194957,11.480909528950841,0.5010093064087734
113271.19177204387,9.91690199903754,9.9169169009521,11.63754014965476,0.5008882174936365
132477.85393936347,9.995338122696637,9.995335063013579,11.79417077035868,0.5006796641542008
154941.26538104384,10.0737576595293,10.073760434092701,11.9508013910626,0.5006639229394005
181213.65197285858,10.152162818017057,10.152173665041696,12.107432011766518,0.5005389810636387
211940.87695477088,10.230555616039737,10.23055989667371,12.264062632470436,0.5004281174911805
247878.31841215357,10.308937737280479,10.308938398362374,12.420693253174356,0.5003924352141964
289909.43899863743,10.387310704951085,10.387313452119997,12.577323873878274,0.5003014887008382
339067.50440656446,10.465675869329834,10.465663463790985,12.733954494582193,0.5002983136208031
396560.98449776997,10.544034213794491,10.544037522919098,12.890585115286113,0.5002805903386156
463803.26153954974,10.622385780635701,10.622381982572708,13.047215735990033,0.5002386423469539
542447.3758737455,10.700730979944336,10.70074290102088,13.203846356693953,0.5002122109562152
634426.6631838261,10.779070277761601,10.77907908074421,13.360476977397871,0.5001099539797892
742002.282360096,10.857406840932274,10.857407966045002,13.51710759810179,0.5001352732025609
867818.8023570896,10.935745799057655,10.935752077299496,13.67373821880571,0.5001766998952683
1014969.2145542558,11.014091481398127,11.014093939977469,13.830368839509628,0.5001817340347701
