t_D,P_wD,P_wD_gauss,ln_t_D,dP_wD
0.1,0.0022023874945283775,0.0022043580522787347,-2.3025850929940455,0.002368597775070409
0.11867125333396428,0.0026131626151571215,0.002609830979650732,-2.1313981858544633,0.002625834501029206
0.14082866367853927,0.003100484502748827,0.0031033750260619332,-1.960211278714881,0.0031189990662430513
0.16712314024079594,0.0036785932175656386,0.0036776945866935176,-1.7890243715752985,0.003674403629282337
0.19832712513483136,0.004364369208313951,0.004361394611820534,-1.6178374644357163,0.004357239321895796
0.23535728509872406,0.0051778197216175185,0.0051694992330581484,-1.4466505572961341,0.005181191736324998
0.27930144003944746,0.006142653657876307,0.006135298989097813,-1.2754636501565515,0.006187149373616772
0.33145051947462306,0.007286960506453591,0.007287817163618265,-1.104276743016969,0.00734224660254127
0.39333648564247053,0.008644011628014649,0.008649091963788104,-0.9330898358773869,0.008639093917542575
0.46677733733168825,0.010253205087840882,0.010245616700083244,-0.7619029287378046,0.010259804407845163
0.5539305164904208,0.012161178656593592,0.012161780332660233,-0.5907160215982223,0.012153185774068225
0.6573562865184842,0.014423119333099704,0.014406549269194269,-0.41952911445863983,0.014444421159145012
0.7800929440810904,0.01710430197567221,0.017107171899971376,-0.24834220731905762,0.017141412884306977
0.9257460739108512,0.020281894183209366,0.020275320180528463,-0.07715530017947529,0.020267553946797332
1.0985944685999747,0.024047069433589183,0.024046251650845115,0.09403160696010722,0.024026917341050197
1.3037158249451946,0.02850747558184944,0.028501507515954025,0.26521851409968944,0.028427769614902395
1.5471359093756942,0.033790110730452357,0.03377917556534859,0.4364054212392718,0.033711092344937334
1.8360055744359622,0.040044663132130454,0.04004330278560736,0.6075923283788541,0.03992516117570348
2.178810826464607,0.047447375293269256,0.047448505282784624,0.7787792355184364,0.04721047225941235
2.5856221155416543,0.056205494261843424,0.05620693224698304,0.9499661426580186,0.05587622309117915
3.0683901709934434,0.06656236898689466,0.06657906091002518,1.121153049797601,0.06600424698330216
3.6412970730940906,0.0788032498647285,0.07880505804528026,1.2923399569371836,0.0779205686911093
4.3211728742537145,0.09326183323773027,0.09325702322360196,1.463526864076766,0.09207292589034093
5.127990008604172,0.11032757127229702,0.11032841687419907,1.6347137712163484,0.10864620440864885
6.085450014051033,0.13045373162943483,0.13045463863394482,1.8059006783559306,0.12806307037961126
7.221679802686267,0.15416613647424218,0.1541738587483677,1.9770875854955128,0.15077527215604358
8.570057933613551,0.1820724296020528,0.18207614366098857,2.148274492635095,0.1772910100329497
10.170195161266047,0.21487160647597453,0.21487365809075443,2.319461399774678,0.2082205487118709
12.069098064384608,0.25336338419598653,0.2533654071347724,2.49064830691426,0.24414960217511497
14.322549939110438,0.29845677686108385,0.29846408864218943,2.6618352140538426,0.2856625994843798
16.996749522125295,0.3511769648903262,0.3511688009171407,2.833022121193425,0.33355220745744885
20.17025568394067,0.41266919618646625,0.4126636301706312,3.004209028333007,0.3885684888383726
23.936295220797565,0.48419802626097397,0.4842044765494251,3.175395935472589,0.45114898664482694
28.405501540238262,0.5671397018585395,0.5671252295364003,3.3465828426121718,0.5221370604773362
33.70916469359927,0.6629649412229611,0.6629705335215622,3.517769749751754,0.6019443838752293
40.003088230304435,0.7732088182695064,0.773215224227684,3.688956656891336,0.6906607128032006
47.47216617519383,0.8994240174899139,0.8994346761367612,3.8601435640309183,0.7883219424349117
56.335814584884766,1.0431135562965899,1.0431160145390843,4.0313304711705005,0.8943539265557696
66.854417243781,1.2056394095373522,1.2056380412872085,4.202517378310083,1.0075932531575413
79.33697485231285,1.3881046505310535,1.3880895598645826,4.373704285449665,1.1261550650703565
94.15018241449172,1.5912091491364784,1.5912040463851478,4.5448911925892475,1.2472039059209126
111.72920148749107,1.815082956270878,1.815099518318598,4.716078099728831,1.3666784401777596
132.59044374523592,2.059107590768014,2.0591189568419077,4.887265006868413,1.479778170404894
157.34674139353632,2.3217435181530988,2.321736814807168,5.058451914007995,1.5809265596458189
186.72535009186112,2.600391528931456,2.6003868131630843,5.229638821147578,1.6636400466411443
221.58931324624422,2.8913247466469527,2.8913236031632645,5.40082572828716,1.7213678475356493
262.9628152834421,3.1897333826368914,3.1897380889013855,5.572012635426742,1.7483692302337213
312.06126869913817,3.4899213470899655,3.48991944528671,5.743199542566325,1.7406004006723084
370.32701873513724,3.785676978220461,3.7856740872153973,5.914386449705907,1.6966618670471327
439.47171456729205,4.070806014894478,4.070812040249646,6.085573356845489,1.6183826892832598
521.5265917252675,4.3397660927473645,4.339765941508678,6.256760263985071,1.511438049145697
618.9021428702819,4.588291284462186,4.588288850182321,6.427947171124654,1.384747302612832
734.4589298549257,4.813864881757986,4.813867157317013,6.599134078264236,1.2489816748286842
871.591617282062,5.015912382947312,5.015907470158198,6.770320985403818,1.115142563408562
1034.3286961823933,5.1956534543193165,5.195662770216246,6.9415078925434015,0.9923381672304943
1227.4508273524964,5.355653108594508,5.355658073527698,7.112694799682983,0.8865870918907565
1456.631280877323,5.499205622141832,5.499206974557556,7.283881706822566,0.8004871536233993
1728.602597471695,5.629725302986369,5.629723913595217,7.455068613962148,0.7333794700162205
2051.354367583124,5.750288651308365,5.750296901021044,7.62625552110173,0.6825051879333518
2434.367938331907,5.863393409641432,5.863395818053273,7.797442428241312,0.644380746323399
2888.894943178664,5.970915874845473,5.97091599498784,7.9686293353808955,0.6157039920707115
3428.2878365716324,6.074195957097244,6.074196742285428,8.139816242520476,0.5936818017522186
4068.3921435554093,6.174171430376048,6.174177097921874,8.31100314966006,0.5762950857439972
4828.011947297735,6.271505348553592,6.271505088941943,8.482190056799642,0.5622412930836564
5729.462288971763,6.3666812365765875,6.366673793980177,8.653376963939225,0.550729400738539
6799.224707619636,6.460064038853701,6.460060414508477,8.824563871078807,0.5411164202448121
8068.725177524782,6.551935603031126,6.551937886748477,8.995750778218389,0.5328942383195687
9575.257296241803,6.642514884783908,6.642509447489339,9.166937685357972,0.5258558645060609
11363.077843401998,6.7319702957794085,6.731977164840486,9.338124592497554,0.519624993439139
13484.706894079163,6.82042821300839,6.820415438487886,9.509311499637137,0.514096867647419
16002.470679615213,6.9079794437653685,6.9079904703259025,9.680498406776717,0.5090194080978561
18990.332519899544,6.9946841059839935,6.994690354780472,9.8516853139163,0.5040816801920804
22536.06561365217,7.080575306281546,7.080574837881513,10.022872221055882,0.49938149609664045
26743.831515885606,7.165661534451609,7.165665502379515,10.194059128195466,0.49465479076433344
31737.240049425152,7.24992812572001,7.249931685346958,10.365246035335048,0.48973533622988485
37662.980540261735,7.333337808015401,7.333338057431829,10.536432942474631,0.4845898216280265
44695.13105005563,7.41583053873127,7.415842550938605,10.707619849614211,0.4789511626133186
53040.27219635889,7.497322856973608,7.497318393829196,10.878806756753795,0.47277099998618316
62943.55578716522,7.577706715206354,7.577706961484448,11.049993663893376,0.4659549167502096
74695.90654559205,7.656848087554611,7.656849155959097,11.22118057103296,0.45821604285067746
88642.56848682066,7.7345854019573705,7.734588135839137,11.39236747817254,0.44944046368867346
105193.24701072784,7.810727998737754,7.810725801803582,11.563554385312123,0.4394604476951314
124834.14465032377,7.885054940052342,7.885047885541349,11.734741292451707,0.4281463263809815
148142.244045273,7.957314413774546,7.957311892636255,11.905928199591289,0.4152596782302885
175802.2577255857,8.027224225946727,8.027221925493393,12.077115106730872,0.4006401814532909
208626.7426323584,8.094473955343505,8.094480599713917,12.248302013870454,0.3840775713612052
247579.97027164392,8.158729461139327,8.158720028579408,12.419488921010036,0.36555202598489583
293806.25372521573,8.2196405524064,8.219636041167842,12.590675828149617,0.34501960511717034
348663.56366928096,8.276852680469549,8.276845706784465,12.761862735289201,0.3224082098701977
413763.42092519987,8.330023519840388,8.330020169736018,12.933049642428783,0.2979041835934581
491018.2374494214,8.378845090653055,8.378840298411077,13.104236549568366,0.27178336110285956
582697.4964795685,8.423071284158228,8.42307167573442,13.275423456707946,0.24453683181498864
691494.4222179371,8.462550257176193,8.462563306251317,13.44661036384753,0.21669635835016743
820605.0975804798,8.497259377352174,8.497262834483172,13.617797270987111,0.18919194560731128
973822.354221157,8.527338753305681,8.527337674299787,13.788984178126695,0.1631630322168838
1155647.1930005632,8.553117761303506,8.55312558417262,13.960171085266277,0.1395764504048388
1371421.0080525468,8.575127268196564,8.575124996008439,14.13135799240586,0.11962934911421458
1627482.498741246,8.594090513094988,8.594083540728583,14.302544899545442,0.10444270163328949
1931353.8790471542,8.610888428099875,8.61088344214025,14.473731806685024,0.09468627571027491
2291961.8545793965,8.626500781352537,8.626501642103397,14.644918713824607,0.09070472758773956
2719899.858765739,8.64193256420585,8.641938365697612,14.816105620964189,0.09240863500547723
3227739.25182603,8.658141494755226,8.658139938942554,14.987292528103772,0.09942267144851734
3830398.6244942676,8.675983964837284,8.675978084947264,15.158479435243352,0.11112877277244922
4545582.055374281,8.696191055358485,8.696187520752819,15.329666342382936,0.12672607623668763
5394299.1964364275,8.71937459224832,8.719365775037053,15.500853249522518,0.14564537711598158
6401482.464995079,8.746052918869326,8.746052684048141,15.672040156662101,0.16740285392036802
7596719.473163604,8.776680313474758,8.77668012865499,15.843227063801683,0.19163752364872483
9015122.211068586,8.811666230613522,8.81166435397877,16.014413970941266,0.21815839647992774
10698358.517463693,8.851377687837285,8.851371850974848,16.185600878080848,0.24666945307143223
12695876.138835046,8.896124587383532,8.89611751549299,16.356787785220426,0.27679687178171103
15066355.335683277,8.946132694517772,8.946139851747294,16.52797469236001,0.30783252579699755
17879432.708603963,9.001510808003722,9.001511311509303,16.699161599499593,0.3390278357855081
21217746.884303104,9.062218654953892,9.062214105031991,16.87034850663918,0.36956900094688916
25179366.156830676,9.128042945196224,9.12804206000283,17.04153541377876,0.3983221492577021
29880669.399858903,9.198588834677379,9.198589178585225,17.212722320918342,0.4242542117393122
35459764.881390944,9.27329356919566,9.273295592700014,17.383909228057924,0.44651885361865
42080547.414023586,9.35146596176885,9.351465541646204,17.555096135197505,0.46456483060064774
49937513.02601493,9.432349331455022,9.432350425732713,17.72628304233709,0.47821003203294404
59261472.59178341,9.515197758224684,9.515192134339884,17.89746994947667,0.4877625116362454
70326332.26883318,9.5993490058949,9.599347537304004,18.068656856616254,0.4938497659648694
83457139.92723258,9.684276557267475,9.684273362394155,18.239843763755836,0.4972847028011056
99039633.94832732,9.769609602722472,9.769604797784691,18.411030670895418,0.49900084353954555
117531574.90385005,9.855120864286151,9.855118184525308,18.582217578035,0.4996877934826219
139476193.00154603,9.940692824210897,9.940684813588067,18.75340448517458,0.49992311392028504
165518146.3374338,10.026277504151608,10.026278767884516,18.924591392314166,0.5000033313266101
196422458.75377798,10.111862200453313,10.111872861286644,19.095778299453748,0.4999551301441044
233096993.63249665,10.19744723738071,10.19745031276039,19.266965206593326,0.4999144406414628
276619123.82747495,10.283034796571881,10.283030475142295,19.43815211373291,0.4999223586189357
